date,recapture,LU,species,sex,wing photo,Bm (g),FA (mm),tailL (mm),earL (mm),HF (mm),TL (mm),Wing area cm2,Wingspan (cm),Wing loading,Aspect ratio
16/01/2016,0.00,LU2,Artibeus lituratus,F,NA,NA,67.46,0,23,40.5,93.66,NA,NA,NA,NA
16/01/2016,0.00,LU2,Artibeus lituratus,F,NA,63.5,NA,NA,21,41,84,NA,NA,NA,NA
16/01/2016,0.00,LU2,Artibeus planirostris,M,NA,45.5,63,0,19,38,79,NA,NA,NA,NA
16/01/2016,0.00,LU2,Artibeus planirostris,F,NA,51.5,64.3,0,17.2,40.1,79.9,NA,NA,NA,NA
16/01/2016,0.00,LU2,Artibeus planirostris,M,NA,30,62.9,0,17.9,36.6,69.2,NA,NA,NA,NA
16/01/2016,0.00,LU2,Carollia perspicillata,F,NA,24,43.4,10,15.7,32.3,75.8,NA,NA,NA,NA
16/01/2016,0.00,LU2,Carollia perspicillata,F,NA,20,44.3,9,17,32.6,75.7,NA,NA,NA,NA
16/01/2016,0.00,LU2,Carollia perspicillata,M,NA,17,41,7,16,24,63.2,NA,NA,NA,NA
16/01/2016,0.00,LU2,Carollia perspicillata,F,NA,18,41.2,10,19,31.5,66.5,NA,NA,NA,NA
16/01/2016,0.00,LU2,Phyllostomus discolor,M,NA,44,65,10,18,37,98,NA,NA,NA,NA
16/01/2016,0.00,LU2,Phyllostomus discolor,F,NA,NA,64.82,19,18,36,92.72,NA,NA,NA,NA
16/01/2016,0.00,LU2,Phyllostomus discolor,F,NA,35,62.3,11,16.1,37.2,85.7,NA,NA,NA,NA
16/01/2016,0.00,LU2,Phyllostomus discolor,F,NA,39,62.2,11,21,37,92.2,NA,NA,NA,NA
21/01/2016,0.00,LU3,Artibeus lituratus,F,224344668,81,72.74,0,21,47.46,85.88,446.182,53.558,1.780910032229,6.42889978528941
21/01/2016,0.00,LU3,Artibeus planirostris,F,240718515,45,69.38,0,15.88,44.16,82.04,326.77,42.478,1.35095020962757,5.52186701349573
21/01/2016,0.00,LU3,Carollia castanea,F,242924170,14,35.56,4,13,25.58,54.32,129,27.44,1.0646511627907,5.8368496124031
21/01/2016,0.00,LU3,Carollia castanea,M,11616309,13,36.1,8,13,26.28,63.28,126.196,27.086,1.01057085803037,5.81358676978668
21/01/2016,0.00,LU3,Carollia perspicillata,F,192106189,16,41.02,11,16,30.09,65.1,164.286,30.294,0.955407034074723,5.58615119973704
21/01/2016,0.00,LU3,Carollia perspicillata,M,235650179,NA,42.3,8,14,32.3,69.4,162.836,30.644,NA,5.7668742538505
21/01/2016,0.00,LU3,Carollia perspicillata,NA,244925339,NA,45.52,10,13,33.34,128,151.902,28.6,NA,5.38478756040079
21/01/2016,0.00,LU3,Carollia perspicillata,F,10654823,24,41.6,9,19,31.2,68.96,148.812,28.32,1.58213047334892,5.38950084670591
21/01/2016,0.00,LU3,Carollia perspicillata,M,241645848,26,41.58,13,17,32.86,67.71,178.87,31.206,1.42595180857606,5.44425804215352
21/01/2016,0.00,LU3,Carollia perspicillata,M,12451494,17,41.2,8,16,28.12,59.72,149.05,29.22,1.11888627977189,5.72833545790003
21/01/2016,0.00,LU3,Carollia perspicillata,M,232121066,NA,40.12,6,15,29.48,62.32,139.242,26.734,NA,5.1328389135462
21/01/2016,0.00,LU3,Desmodus rotundus,M,.085559915,30,59.3,0,21,41,79.58,137.836,31.596,2.1351461156737,7.24271754839084
21/01/2016,0.00,LU3,Desmodus rotundus,M,.090242420,25,59.1,0,19,41,70.2,144.112,32.46,1.70180137670701,7.31133840346397
21/01/2016,0.00,LU3,Desmodus rotundus,F,.090708419,32,62.22,0,18,43,74.12,181.388,38.224,1.73065472908902,8.05496601759764
23/01/2016,0.00,LU4,Artibeus planirostris,M,NA,36,66.4,0,20,38.66,78.12,NA,NA,NA,NA
23/01/2016,0.00,LU4,Artibeus planirostris,F,NA,59,68.07,0,15.04,48.67,80,NA,NA,NA,NA
23/01/2016,0.00,LU4,Artibeus planirostris,F,8403,57,66.6,0,17,40.6,80.4,352.04,48.24,1.58837063970003,6.61032155436882
23/01/2016,0.00,LU4,Artibeus planirostris,F,9475,50.5,61.27,0,13.85,36.72,86.9,260.6,40.6,1.90101688411358,6.32524942440522
23/01/2016,0.00,LU4,Artibeus planirostris,F,.0075,63,66.15,0,16.91,43.2,88.9,343.6,46.4,1.79869033760186,6.26589057043073
23/01/2016,0.00,LU4,Artibeus planirostris,F,6953,51.5,61.38,0,18.4,37.42,81.9,310.8,45.2,1.62553088803089,6.57348777348777
23/01/2016,0.00,LU4,Artibeus planirostris,M,3605,56,66.72,0,17,38.96,77.44,343.8,46.6,1.5979057591623,6.31634671320535
23/01/2016,0.00,LU4,Artibeus planirostris,F,9169,47,60.1,0,17,37,84.05,290.4,43,1.58770661157025,6.36707988980716
23/01/2016,0.00,LU4,Artibeus planirostris,M,6559,48,62.93,0,18.28,38.94,79,292.8,43.6,1.60819672131148,6.49234972677596
23/01/2016,0.00,LU4,Artibeus planirostris,M,5917-8771,54,62.8,0,16,40.92,77.42,314.6,45.8,1.68385251112524,6.66764144945963
23/01/2016,0.00,LU4,Artibeus planirostris,F,2940,57,67.98,0,18.13,40.63,87.83,324.8,43.8,1.72158251231527,5.90652709359606
23/01/2016,0.00,LU4,Artibeus planirostris,F,4417,58,69.46,0,22.77,43.9,88.07,363.6,48.6,1.56485148514852,6.4960396039604
23/01/2016,0.00,LU4,Carollia perspicillata,M,8381,17,40.69,9.82,15.44,29.94,65.24,165.366,32.862,1.00849025797322,6.5304297376728
23/01/2016,0.00,LU4,Carollia perspicillata,M,NA,18,41.12,10.75,16.5,30.33,68.83,NA,NA,NA,NA
23/01/2016,0.00,LU4,Carollia perspicillata,F,1692,19,40.84,8.69,18.17,30.89,63.2,153.8,29.8,1.21189856957087,5.7739921976593
23/01/2016,0.00,LU4,Carollia perspicillata,M,NA,16,42.11,15.24,15.24,30.23,56.36,NA,NA,NA,NA
23/01/2016,0.00,LU4,Carollia perspicillata,M,8615,13,40.8,9.73,17.95,29.83,62.67,166.8,32.4,0.764568345323741,6.29352517985612
23/01/2016,0.00,LU4,Gardnerycteris crenulatum,F,6969,16,47.97,21.54,22.85,30.9,79.24,153.8,33,1.02054616384915,7.08062418725618
23/01/2016,0.00,LU4,Gardnerycteris crenulatum,M,3450,13,51.71,23.26,21.55,35.1,80.2,204.8,35.6,0.622705078125,6.18828125
23/01/2016,0.00,LU4,Gardnerycteris crenulatum,M,5094,15,53.08,22.27,24.38,34.8,81.44,215.4,37.4,0.683147632311978,6.49377901578459
