Fecha;no.FG;site;Carollia perspicillata;Carollia castanea;Artibeus lituratus;Artibeus planirostris;Sturnira lilium;Platyrrhinus sp 1;Platyrrhinus sp 2;Uroderma bilobatum;Mesophylla maconnelli;Desmodus rotundus;Glossophaga soricina;Anoura sp.;Phyllostomus discolor;Phyllostomus elongatus;Phyllostomus hastatus ;Gardnerycteris crenulatum;Tonatia saurophila;Micronicteris sp.;Lophostoma brasiliense;Rhinophylla sp;S;forest.perc.05;grass.perc.05;ba.perce.05;mps.05;pssd.05;p.no.05;patchD.05;forest.perc.125;grass.perc.125;ba.perce.125;p.no.125;mps.125;pssd.125;patchD.125;forest.perc.2;grass.perc.2;ba.perce.2;p.no.2;mps.2;pssd.2;patchD.2;CWM.body_mass;CWM.wing_span;CWM.wing_loading;CWM.aspect_ratio;FRic ;FEve ;FDiv 
1/21/2016;4;Balmoral;11;1;1;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;5;40,75;25,42;33,83;1,68;6,6;19;0,24;37,06;43,06;19,89;117;1,53;8,17;0,24;30,03;57,88;12,1;293;1,25;9,5;0,23;27,43;35,46;12,51;6,51;0,42;0,5;0,73
12-Mar;7;Balmoral;12;3;3;4;0;1;0;2;1;9;0;0;0;0;0;1;0;1;0;0;10;40,75;25,42;33,83;1,68;6,6;19;0,24;37,06;43,06;19,89;117;1,53;8,17;0,24;30,03;57,88;12,1;293;1,25;9,5;0,23;28,91;36,14;12,52;6,48;0,93;0,55;0,77
20-Apr;4;Balmoral;6;1;0;3;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;5;40,75;25,42;33,83;1,68;6,6;19;0,24;37,06;43,06;19,89;117;1,53;8,17;0,24;30,03;57,88;12,1;293;1,25;9,5;0,23;26,05;34,95;12,09;6,37;0,26;0,55;0,65
30-Jun;5;Balmoral;4;1;0;9;3;0;0;0;0;4;1;0;0;2;0;1;0;1;0;0;9;40,75;25,42;33,83;1,68;6,6;19;0,24;37,06;43,06;19,89;117;1,53;8,17;0,24;30,03;57,88;12,1;293;1,25;9,5;0,23;31,44;37,1;13,94;6,65;0,06;0,57;0,73
6-Jul;4;Balmoral;4;0;0;3;1;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;5;40,75;25,42;33,83;1,68;6,6;19;0,24;37,06;43,06;19,89;117;1,53;8,17;0,24;30,03;57,88;12,1;293;1,25;9,5;0,23;31,33;37,42;12,78;6,44;0,06;0,51;0,83
23-Jan;5;Barcelona;5;0;0;12;7;0;0;1;0;0;0;0;3;0;0;3;0;0;0;0;6;42,32;45,22;12,45;0,98;4,13;32;0,41;18,43;69,84;11,73;322;0,26;1,6;0,66;19,33;71,51;9,16;681;0,35;3,16;0,54;43,1;42,07;14,43;6,6;0,3;0,38;0,84
5-Mar;5;Barcelona;6;0;4;11;13;0;0;1;0;0;0;0;0;0;0;9;0;0;0;0;6;42,32;45,22;12,45;0,98;4,13;32;0,41;18,43;69,84;11,73;322;0,26;1,6;0,66;19,33;71,51;9,16;681;0,35;3,16;0,54;37,59;39,75;13,53;6,53;0,67;0,52;0,83
12-Apr;5;Barcelona;0;3;2;34;4;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;6;42,32;45,22;12,45;0,98;4,13;32;0,41;18,43;69,84;11,73;322;0,26;1,6;0,66;19,33;71,51;9,16;681;0,35;3,16;0,54;38,96;40;13,91;6,55;0,63;0,4;0,75
27-Jun;6;Barcelona;7;0;0;9;2;0;0;0;0;0;0;0;2;1;2;2;1;0;0;0;8;42,32;45,22;12,45;0,98;4,13;32;0,41;18,43;69,84;11,73;322;0,26;1,6;0,66;19,33;71,51;9,16;681;0,35;3,16;0,54;25,72;35,09;11,8;6,46;0,08;0,5;0,86
3-Jul;4;Barcelona;6;0;2;14;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;42,32;45,22;12,45;0,98;4,13;32;0,41;18,43;69,84;11,73;322;0,26;1,6;0,66;19,33;71,51;9,16;681;0,35;3,16;0,54;32,32;37,41;12,8;6,43;0,02;0,43;0,89
