Lugar;Especie;sexo;MC;1/2 Envergadura;Àrea alar cm2;Envergadura;Carga alar;Aspect ratio
1;A. lituratus;M;26;NA;NA;NA;NA;NA
2;A. lituratus;H;63,5;NA;NA;NA;NA;NA
4;A. lituratus;M;63,9;NA;NA;NA;NA;NA
2;A. lituratus;H;NA;NA;NA;NA;NA;NA
2;A. lituratus;H;NA;NA;NA;NA;NA;NA
3;A. lituratus;M;65,6;23,2;339,2;46,4;0,193396226;6,347169811
1;A. lituratus;H;53;19,2;277,6;38,4;0,19092219;5,311815562
3;A. lituratus;M;64,4;23,8;345,8;47,6;0,186234818;6,552226721
2;A. lituratus;H;66,8;23,66;359;47,32;0,186072423;6,23727688
3;A. lituratus;H;81;26,779;446,182;53,558;0,181540268;6,428899785
1;A. lituratus;H;59,7;24,8;337,8;49,6;0,176731794;7,282889284
4;A. lituratus;H;60,2;23,6;344,8;47,2;0,174593968;6,4612529
4;A. lituratus;M;70,7;25,7;407,2;51,4;0,173624754;6,488113949
1;A. lituratus;M;61,8;24,2;359,8;48,4;0,17176209;6,510728182
3;A. lituratus;M;62,7;25,5;375,8;51;0,166844066;6,921234699
5;A. lituratus;M;65;25,8;390,4;51,6;0,166495902;6,820081967
4;A. lituratus;M;63,8;25,5;389,2;51;0,163926002;6,682939363
1;A. lituratus;H;67,2;26,8;411,6;53,6;0,163265306;6,979980564
4;A. lituratus;M;68;27,4;429,2;54,8;0,158434296;6,996831314
4;A. lituratus;M;54,3;24,8;348,4;49,6;0,155855339;7,06130884
4;A. lituratus;M;61,8;23,05;406,8;46,1;0,151917404;5,224213373
2;A. lituratus;M;60,2;26,1;413,2;52,2;0,145692159;6,594482091
4;A. lituratus;H;45,7;23,7;328,4;47,4;0,139159562;6,841534714
1;A. lituratus;H;58,3;26,7;429,4;53,4;0,135770843;6,640801118
2;A. planirostris;M;30;NA;NA;NA;NA;NA
2;A. planirostris;M;45,5;NA;NA;NA;NA;NA
4;A. planirostris;M;46,4;NA;NA;NA;NA;NA
1;A. planirostris;M;48,3;NA;NA;NA;NA;NA
2;A. planirostris;M;50,4;NA;NA;NA;NA;NA
2;A. planirostris;H;51,5;NA;NA;NA;NA;NA
3;A. planirostris;M;52;NA;NA;NA;NA;NA
1;A. planirostris;M;52,9;NA;NA;NA;NA;NA
3;A. planirostris;M;53,9;NA;NA;NA;NA;NA
1;A. planirostris;M;54,9;NA;NA;NA;NA;NA
2;A. planirostris;H;55;NA;NA;NA;NA;NA
5;A. planirostris;M;57,7;NA;NA;NA;NA;NA
4;A. planirostris;;NA;NA;NA;NA;NA;NA
4;A. planirostris;H;69,9;23,5;313,2;47;0,223180077;7,053001277
1;A. planirostris;M;60,1;21,04;281,8;42,08;0,213271824;6,283628105
4;A. planirostris;H;54,2;20,5;254,2;41;0,213217939;6,612903226
4;A. planirostris;H;58,9;20,2;276,6;40,4;0,212942878;5,900795372
1;A. planirostris;H;66,9;22,5;314,4;45;0,21278626;6,440839695
1;A. planirostris;M;51,4;20;242;40;0,212396694;6,611570248
2;A. planirostris;H;68,7;23,7;328;47,4;0,20945122;6,849878049
4;A. planirostris;H;65,1;22,7;315,8;45,4;0,206143129;6,526789107
1;A. planirostris;M;55;21,1;269,6;42,2;0,204005935;6,605489614
2;A. planirostris;M;59,3;22,1;291,2;44,2;0,20364011;6,708928571
4;A. planirostris;H;57;20,2;280;40,4;0,203571429;5,829142857
2;A. planirostris;H;61,3;23;301,2;46;0,203519256;7,025232404
1;A. planirostris;H;54,5;20,7;272,4;41,4;0,200073421;6,292070485
1;A. planirostris;H;64,4;22,6;325,2;45,2;0,19803198;6,282410824
2;A. planirostris;H;70,1;24,6;354,2;49,2;0,197910785;6,834105025
3;A. planirostris;M;53,4;21,8;270,2;43,6;0,197631384;7,035381199
4;A. planirostris;M;51,3;21,6;259,8;43,2;0,197459584;7,183371824
4;A. planirostris;H;60,4;22,8;307,2;45,6;0,196614583;6,76875
5;A. planirostris;H;56,1;22,2;287,2;44,4;0,195334262;6,864066852
4;A. planirostris;H;58,8;21,2;303,4;42,4;0,19380356;5,925379038
4;A. planirostris;H;50,5;20,3;260,6;40,6;0,193783576;6,325249424
1;A. planirostris;;48;20,4;247,8;40,8;0,1937046;6,717675545
1;A. planirostris;H;65,2;23,3;337,4;46,6;0,193242442;6,436158862
4;A. planirostris;H;57,5;22,6;298,4;45,2;0,19269437;6,846648794
2;A. planirostris;H;64,5;24;335;48;0,192537313;6,87761194
1;A. planirostris;H;56,6;22,5;296,4;45;0,190958165;6,831983806
1;A. planirostris;H;56,6;22,5;298;45;0,189932886;6,795302013
4;A. planirostris;H;57,5;21,2;304,06;42,4;0,189107413;5,912517266
5;A. planirostris;H;59,1;22,3;314,4;44,6;0,187977099;6,326844784
4;A. planirostris;H;58,4;23,2;310,8;46,4;0,187902188;6,927155727
4;A. planirostris;H;54,9;21,8;292,2;43,6;0,18788501;6,50568104
4;A. planirostris;H;64,3;24,4;343;48,8;0,187463557;6,942973761
2;A. planirostris;;59,8;22,7;321,4;45,4;0,186060983;6,413067828
1;A. planirostris;M;56;21,9;302,6;43,8;0,185062789;6,339854594
5;A. planirostris;H;57,2;21,8;309,2;43,6;0,184993532;6,147994825
5;A. planirostris;H;48,7;21,7;263,4;43,4;0,184889901;7,150949127
3;A. planirostris;H;54;22,1;292,2;44,2;0,184804928;6,685968515
1;A. planirostris;H;59,2;23,9;321,2;47,8;0,184308842;7,113449564
3;A. planirostris;H;56,6;23,2;308,6;46,4;0,183408944;6,976539209
4;A. planirostris;H;63;23,2;343,6;46,4;0,183352736;6,26589057
4;A. planirostris;H;52,8;21,3;288,8;42,6;0,182825485;6,283795014
4;A. planirostris;H;59,4;21,6;325,6;43,2;0,182432432;5,731695332
5;A. planirostris;H;58,9;23,1;323,8;46,2;0,181902409;6,591846819
2;A. planirostris;H;60,4;23,9;332,2;47,8;0,181818182;6,877904877
1;A. planirostris;H;54,3;22,9;299,2;45,8;0,181483957;7,010828877
3;A. planirostris;H;58,6;21,9;323,2;43,8;0,181311881;5,935767327
4;A. planirostris;H;53,9;22,5;298,4;45;0,180630027;6,786193029
1;A. planirostris;M;53,6;21,3;296,8;42,6;0,180592992;6,114420485
1;A. planirostris;M;51,5;22,6;287,2;45,2;0,179317549;7,113649025
1;A. planirostris;M;50,7;21,6;284,4;43,2;0,178270042;6,562025316
4;A. planirostris;H;52,6;21,2;296,2;42,4;0,177582714;6,069412559
1;A. planirostris;M;54,6;22,4;308,2;44,8;0,17715769;6,512134977
1;A. planirostris;M;48,08;20,9;271,6;41,8;0,177025037;6,433136966
1;A. planirostris;M;51,9;22,5;293,2;45;0,177012278;6,906548431
4;A. planirostris;H;60,3;23,5;341,4;47;0,176625659;6,470415934
4;A. planirostris;H;57;21,9;324,8;43,8;0,175492611;5,906527094
3;A. planirostris;M;51,7;21,7;295,2;43,4;0,175135501;6,380623306
1;A. planirostris;H;57,7;23,7;329,6;47,4;0,17506068;6,816626214
